A                             B                             C                             D                             E                             F                             G                             
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(BD)+(C)+(B'D')+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BC'D)+(BD')+(B'C)        (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BD')+(B'C)+(BC')         (B'D')+(BCD')                 (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (A)+(B')+(C'D')+(CD)          (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (BCD)+(B')+(C'D')             (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(BD)+(C)+(B'D')+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BC'D)+(BD')+(B'C)        (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(BD)+(C)+(B'D')+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BD')+(B'C)+(BC')         (B'D')+(BCD')                 (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(BD)+(C)+(B'D')+(A)           (C'D')+(A)+(BD')+(BC')        (A)+(B')+(C'D')+(CD)          (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(BD)+(C)+(B'D')+(A)           (C'D')+(A)+(BD')+(BC')        (BCD)+(B')+(C'D')             (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(BC')+(AD)+(BD')+(A)   (B')+(C'D')+(CD)              (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (A)+(BCD)+(B')+(C'D')         (A)+(BD')+(B'C)+(BC')         (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(CD')+(B'C)+(BC')+(AD)    (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (BD')+(A)+(B'C)+(BC')+(AD)    (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BC'D)+(BD')+(B'C)        (B'D')+(BCD')                 (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (B')+(C'D')+(CD)              (A)+(BD')+(B'C)+(BC')         (B'D')+(BCD')                 (B)+(C')+(D)                  (B'D')+(B'C)+(BCD')+(A)+(BC'D)                              
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (A)+(B')+(C'D')+(CD)          (A)+(BC'D)+(BD')+(B'C)        (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (A)+(B')+(C'D')+(CD)          (A)+(BD')+(B'C)+(BC')         (B'D')+(BCD')                 (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (BCD)+(B')+(C'D')             (A)+(BC'D)+(BD')+(B'C)        (B'D')+(CD')                  (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
(B'D')+(C)+(BD)+(A)           (C'D')+(A)+(BD')+(BC')        (BCD)+(B')+(C'D')             (A)+(BD')+(B'C)+(BC')         (B'D')+(BCD')                 (B)+(C')+(D)                  (B'D')+(CD')+(B'C)+(A)+(BC'D)                               
